dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
sábado,Final,Entrega,"borda sim","refrigerante nao","vl 30-34","tp 44-55"
domingo,Inicio,Entrega,"borda sim","refrigerante sim","vl 30-34","tp 10-22"
domingo,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
domingo,Inicio,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
domingo,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
domingo,Pico,Entrega,"borda sim","refrigerante nao","vl 26-30","tp 33-44"
domingo,Pico,Buscar,"borda sim","refrigerante nao","vl 22-26","tp 33-44"
domingo,Pico,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
domingo,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 44-55"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
domingo,Pico,Entrega,"borda nao","refrigerante sim","vl 38-42","tp 44-55"
domingo,Final,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
domingo,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
domingo,Final,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
terça,Inicio,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
terça,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
terça,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
terça,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
terça,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
terça,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
terça,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
terça,Final,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
quarta,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 44-55"
quarta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
quarta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
quarta,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
quarta,Final,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
quarta,Final,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
quinta,Inicio,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
quinta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
quinta,Inicio,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
quinta,Inicio,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
quinta,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 44-55"
quinta,Inicio,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
quinta,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
quinta,Pico,Buscar,"borda nao","refrigerante sim","vl 26-30","tp 10-22"
